,date,DJIA
199,2010-10-18,11143.69
200,2010-10-19,10978.62
201,2010-10-20,11107.97
202,2010-10-21,11146.57
203,2010-10-22,11132.56
204,2010-10-25,11164.05
205,2010-10-26,11169.46
206,2010-10-27,11126.28
207,2010-10-28,11113.95
208,2010-10-29,11118.49
209,2010-11-01,11124.62
210,2010-11-02,11188.72
211,2010-11-03,11215.13
212,2010-11-04,11434.84
213,2010-11-05,11444.08
214,2010-11-08,11406.84
215,2010-11-09,11346.75
216,2010-11-10,11357.04
217,2010-11-11,11283.1
218,2010-11-12,11192.58
219,2010-11-15,11201.97
220,2010-11-16,11023.5
221,2010-11-17,11007.88
222,2010-11-18,11181.23
223,2010-11-19,11203.55
224,2010-11-22,11178.58
225,2010-11-23,11036.37
226,2010-11-24,11187.28
227,2010-11-26,11092.0
228,2010-11-29,11052.49
229,2010-11-30,11006.02
230,2010-12-01,11255.78
231,2010-12-02,11362.41
232,2010-12-03,11382.09
233,2010-12-06,11362.19
234,2010-12-07,11359.16
235,2010-12-08,11372.48
236,2010-12-09,11370.06
237,2010-12-10,11410.32
238,2010-12-13,11428.56
239,2010-12-14,11476.54
240,2010-12-15,11457.47
241,2010-12-16,11499.25
242,2010-12-17,11491.91
243,2010-12-20,11478.13
244,2010-12-21,11533.16
245,2010-12-22,11559.49
246,2010-12-23,11573.49
247,2010-12-27,11555.03
248,2010-12-28,11575.54
249,2010-12-29,11585.38
250,2010-12-30,11569.71
251,2010-12-31,11577.51
252,2011-01-03,11670.75
253,2011-01-04,11691.18
254,2011-01-05,11722.89
255,2011-01-06,11697.31
256,2011-01-07,11674.76
257,2011-01-10,11637.45
258,2011-01-11,11671.88
259,2011-01-12,11755.44
260,2011-01-13,11731.9
261,2011-01-14,11787.38
262,2011-01-18,11837.93
263,2011-01-19,11825.29
264,2011-01-20,11822.8
265,2011-01-21,11871.84
266,2011-01-24,11980.52
267,2011-01-25,11977.19
268,2011-01-26,11985.44
269,2011-01-27,11989.83
270,2011-01-28,11823.7
271,2011-01-31,11891.93
272,2011-02-01,12040.16
273,2011-02-02,12041.97
274,2011-02-03,12062.26
275,2011-02-04,12092.15
276,2011-02-07,12161.63
277,2011-02-08,12233.15
278,2011-02-09,12239.89
279,2011-02-10,12229.29
280,2011-02-11,12273.26
281,2011-02-14,12268.19
282,2011-02-15,12226.64
283,2011-02-16,12288.17
284,2011-02-17,12318.14
