date,Chicago,Los Angeles,New York
2005-01-01,0.317763,0.777657,0.6398301249999997
2005-01-03,0.5208335,0.349547,0.96957225
2005-01-04,0.4770835,0.6266302499999999,0.9052083749999998
2005-01-05,0.3488225,0.6138135000000001,0.769176125
2005-01-06,0.5729165,0.7925964999999999,0.8157607499999995
2005-01-07,0.625,0.5845562500000001,0.7359147500000008
2005-01-08,0.6083335000000001,0.17305225,0.8156248750000005
2005-01-09,0.3979165,0.11598725,0.6190813749999999
2005-01-10,0.5770835,0.157382,0.6687499999999985
2005-01-11,0.5229170000000001,0.1418252499999999,0.7864583749999998
2005-01-13,0.61875,1.36331925,1.072395874999997
2005-01-14,0.727083,0.887953,0.6623641249999999
2005-01-15,0.5270835,0.7242755,0.7276041250000002
2005-01-16,0.3729165,0.5910325,0.7105452499999988
2005-01-17,0.4499999999999999,0.93650375,0.613541625
2005-01-18,0.6187499999999999,0.977499,0.6541667499999998
2005-01-19,0.5770835,0.8397647500000001,0.8352272499999991
2005-01-20,0.4612315,0.95544275,0.6941953750000003
2005-01-21,0.5729165,1.3600095,0.6987996249999997
2005-01-22,0.5645834999999998,1.28813425,0.8203123749999993
2005-01-23,0.4874999999999999,1.2136777499999998,0.5968749999999998
2005-01-24,0.716667,0.942663,0.7291193749999999
2005-01-25,0.7791665,0.53186,0.8760417500000034
2005-01-26,0.5251815,0.27377725,0.9843749999999996
2005-01-27,0.4041665,0.4075419999999999,0.8003790000000004
2005-01-28,0.6875,0.5053647499999999,0.8801263750000006
2005-01-31,0.8499999999999999,0.8004979999999999,0.7994789999999997
2005-02-01,0.4812499999999999,1.0381795,1.3515626250000004
2005-02-02,0.817029,0.74660325,1.192359125
2005-02-03,0.8854169999999998,0.9837665,0.9104167500000022
2005-02-04,1.0375,0.86384375,0.7822715
2005-02-05,0.5125,0.7414402499999999,0.7057292500000002
2005-02-06,0.46875,0.3550725,0.8281251250000005
2005-02-07,0.6125,0.4705165,1.1885417500000006
2005-02-08,0.44375,0.59904875,1.4958332499999998
2005-02-09,0.5083335,0.8428442500000001,1.0302518750000005
2005-02-10,0.5541665,0.6538949999999999,0.5859375
2005-02-11,0.5708329999999999,0.2463315,0.4032485000000002
